name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Stockholm,2022-10-26,50.9,46.4,47.8,50.9,41.4,43.9,45.4,91.5,0,0,0,rain,0,0,17.9,13.3,273.1,1010.4,92.8,7.1,19.8,1.6,1,10,2022-10-26T07:51:54,2022-10-26T17:10:30,0.03,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-10-27,57.3,46.4,51.6,57.3,41.7,50.8,48.1,88.3,0,0,0,,0,0,19.2,13.1,230.1,1016.2,73.4,7.5,29.7,2.7,1,10,2022-10-27T07:54:22,2022-10-27T17:07:51,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-10-28,56,51.7,53.8,56,51.7,53.8,51.7,92.7,0.039,100,20.83,rain,0,0,15.7,8.2,217.4,1013.2,91.6,6.1,16.8,1.5,1,10,2022-10-28T07:56:50,2022-10-28T17:05:14,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"02486099999,02464099999,02460099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB,F4490"
Stockholm,2022-10-29,58.1,49.9,55,58.1,47.2,54.9,47.7,77.3,0.007,100,4.17,rain,0,0,33.2,21,259.1,1005.5,43.5,8,44.3,3.8,2,10,2022-10-29T07:59:18,2022-10-29T17:02:37,0.14,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-10-30,48.1,31.8,41.2,46,31.8,39.7,32.1,71,0,0,0,,0,0,13.4,6.5,290.7,1015.6,0.4,8.1,45,4.1,2,10,2022-10-30T07:01:47,2022-10-30T16:00:02,0.18,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-10-31,54.1,31.9,46.2,54.1,31.9,45.5,45,95.7,0,0,0,rain,0,0,11.2,7.9,219.9,1016.5,55.6,5.8,14.5,1.3,1,10,2022-10-31T07:04:16,2022-10-31T15:57:28,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02460099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-11-01,50.2,40.6,47.6,50.2,40.6,46.4,45.1,91.5,0.022,100,4.17,rain,0,0,11.2,8.4,174.1,1015.5,79.3,5.6,15,1.2,1,10,2022-11-01T07:06:45,2022-11-01T15:54:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-11-02,53.5,47.4,50.8,53.5,46.7,50.4,49.4,94.8,0.038,100,16.67,rain,0,0,11.2,7.5,156.9,1011.3,88.1,5.6,17.1,1.6,1,10,2022-11-02T07:09:14,2022-11-02T15:52:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-11-03,50.2,38.9,46.3,50.2,38.9,44.2,44.1,92.3,0.006,100,4.17,rain,0,0,15.7,9.6,171.3,1013.3,41.7,5.4,36.9,3.3,2,10,2022-11-03T07:11:44,2022-11-03T15:49:56,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2022-11-04,50.2,45.4,47.9,50.2,41.1,43.9,43.7,85.8,0,0,0,,0,0,29.1,16.8,129.3,1012.4,48.9,7.4,28.2,2.4,2,10,2022-11-04T07:14:13,2022-11-04T15:47:29,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
